,location,total_sqft,bath,price,bhk
101,7th Phase JP Nagar,1450.0,2.0,100.0,3
103,7th Phase JP Nagar,1420.0,2.0,96.0,3
104,7th Phase JP Nagar,1680.0,3.0,120.0,3
105,7th Phase JP Nagar,980.0,2.0,69.0,2
106,7th Phase JP Nagar,1180.0,2.0,72.0,2
107,7th Phase JP Nagar,1050.0,2.0,57.0,3
110,7th Phase JP Nagar,1400.0,3.0,115.0,3
111,7th Phase JP Nagar,1270.0,2.0,83.0,2
113,7th Phase JP Nagar,2503.0,4.0,188.0,4
114,7th Phase JP Nagar,2200.0,3.0,190.0,3
115,7th Phase JP Nagar,1250.0,3.0,65.0,3
117,7th Phase JP Nagar,1575.0,2.0,110.0,3
118,7th Phase JP Nagar,1850.0,3.0,140.0,3
119,7th Phase JP Nagar,1575.0,2.0,120.0,3
120,7th Phase JP Nagar,1850.0,3.0,150.0,3
121,7th Phase JP Nagar,1680.0,3.0,120.0,3
122,7th Phase JP Nagar,1175.0,2.0,82.5,2
125,7th Phase JP Nagar,1215.0,2.0,90.0,2
126,7th Phase JP Nagar,1050.0,2.0,75.0,2
127,7th Phase JP Nagar,1300.0,3.0,89.13,3
128,7th Phase JP Nagar,1130.0,2.0,73.0,2
129,7th Phase JP Nagar,1450.0,3.0,100.0,3
132,7th Phase JP Nagar,1275.0,2.0,87.0,2
134,7th Phase JP Nagar,1650.0,3.0,110.0,3
136,7th Phase JP Nagar,1680.0,3.0,117.0,3
137,7th Phase JP Nagar,1850.0,3.0,150.0,3
139,7th Phase JP Nagar,1000.0,2.0,53.0,2
140,7th Phase JP Nagar,1680.0,3.0,125.0,3
141,7th Phase JP Nagar,1675.0,2.0,135.0,3
143,7th Phase JP Nagar,1850.0,3.0,155.0,3
144,7th Phase JP Nagar,1000.0,2.0,61.0,2
145,7th Phase JP Nagar,1460.0,2.0,100.0,3
146,7th Phase JP Nagar,1650.0,3.0,110.0,3
147,7th Phase JP Nagar,1200.0,2.0,62.5,2
148,7th Phase JP Nagar,1000.0,2.0,70.65,2
149,7th Phase JP Nagar,1080.0,2.0,75.0,2
151,7th Phase JP Nagar,1680.0,3.0,125.0,3
152,7th Phase JP Nagar,1460.0,2.0,97.0,3
153,7th Phase JP Nagar,1120.0,2.0,65.0,2
154,7th Phase JP Nagar,1100.0,3.0,60.0,2
155,7th Phase JP Nagar,1790.0,3.0,120.0,3
156,7th Phase JP Nagar,1680.0,3.0,117.0,3
157,7th Phase JP Nagar,1050.0,2.0,77.0,2
158,7th Phase JP Nagar,1050.0,2.0,75.0,2
159,7th Phase JP Nagar,1040.0,2.0,75.0,2
160,7th Phase JP Nagar,1400.0,2.0,95.0,3
161,7th Phase JP Nagar,1800.0,3.0,130.0,3
162,7th Phase JP Nagar,1050.0,2.0,68.0,2
163,7th Phase JP Nagar,1000.0,2.0,60.0,2
164,7th Phase JP Nagar,1680.0,3.0,125.0,3
165,7th Phase JP Nagar,1050.0,2.0,77.47,2
166,7th Phase JP Nagar,1270.0,2.0,80.0,2
168,7th Phase JP Nagar,1680.0,3.0,122.0,3
169,7th Phase JP Nagar,1130.0,2.0,85.0,2
170,7th Phase JP Nagar,1680.0,3.0,130.0,3
171,7th Phase JP Nagar,980.0,2.0,77.44,2
172,7th Phase JP Nagar,1680.0,3.0,112.0,3
174,7th Phase JP Nagar,2095.0,3.0,150.0,3
175,7th Phase JP Nagar,1976.0,3.0,145.0,3
176,7th Phase JP Nagar,1600.0,2.0,110.0,3
177,7th Phase JP Nagar,1765.0,3.0,118.0,3
178,7th Phase JP Nagar,1275.0,2.0,88.0,3
179,7th Phase JP Nagar,1450.0,2.0,102.0,3
180,7th Phase JP Nagar,1575.0,2.0,110.0,3
181,7th Phase JP Nagar,1075.0,2.0,57.0,3
182,7th Phase JP Nagar,750.0,1.0,47.0,1
184,7th Phase JP Nagar,1000.0,1.0,60.0,1
185,7th Phase JP Nagar,1680.0,2.0,92.0,3
186,7th Phase JP Nagar,1430.0,2.0,102.0,3
187,7th Phase JP Nagar,1128.0,2.0,60.0,2
189,7th Phase JP Nagar,1420.0,3.0,90.0,3
190,7th Phase JP Nagar,1530.0,2.0,108.0,2
192,8th Phase JP Nagar,451.0,1.0,29.9,1
197,8th Phase JP Nagar,871.0,2.0,55.0,2
206,8th Phase JP Nagar,500.0,1.0,31.0,1
213,8th Phase JP Nagar,500.0,1.0,30.0,1
218,8th Phase JP Nagar,1504.0,2.0,83.0,3
226,8th Phase JP Nagar,500.0,1.0,33.0,1
227,8th Phase JP Nagar,1160.0,2.0,95.0,2
229,8th Phase JP Nagar,1510.0,2.0,80.0,2
236,8th Phase JP Nagar,1408.0,3.0,80.0,3
240,9th Phase JP Nagar,1100.0,2.0,65.0,2
251,9th Phase JP Nagar,600.0,1.0,20.0,1
254,9th Phase JP Nagar,1079.0,2.0,60.0,2
255,9th Phase JP Nagar,1480.0,2.0,80.0,2
256,9th Phase JP Nagar,1200.0,2.0,80.0,2
259,9th Phase JP Nagar,1719.3,2.0,88.0,3
262,9th Phase JP Nagar,1522.0,3.0,90.0,3
267,9th Phase JP Nagar,5000.0,4.0,300.0,4
270,9th Phase JP Nagar,1331.95,2.0,69.0,2
273,AECS Layout,1199.0,2.0,65.0,2
275,AECS Layout,1123.0,2.0,64.0,2
277,AECS Layout,1005.0,2.0,55.0,2
281,Abbigere,765.0,2.0,30.0,1
285,Abbigere,734.0,1.0,19.82,1
301,Akshaya Nagar,1662.0,3.0,85.1,3
302,Akshaya Nagar,1897.0,3.0,120.0,3
303,Akshaya Nagar,1410.0,2.0,75.0,3
304,Akshaya Nagar,1360.0,2.0,85.0,3
306,Akshaya Nagar,1410.0,2.0,80.0,3
307,Akshaya Nagar,1662.0,3.0,85.0,3
308,Akshaya Nagar,1662.0,3.0,85.5,3
310,Akshaya Nagar,1666.0,3.0,95.0,3
311,Akshaya Nagar,1575.0,3.0,90.0,3
312,Akshaya Nagar,1430.0,2.0,75.0,3
313,Akshaya Nagar,1419.0,2.0,73.0,3
316,Akshaya Nagar,1092.0,2.0,60.0,2
320,Akshaya Nagar,1884.0,3.0,98.0,3
321,Akshaya Nagar,1314.0,2.0,68.8,2
323,Akshaya Nagar,1265.0,2.0,67.0,2
326,Akshaya Nagar,1662.0,3.0,90.0,3
327,Akshaya Nagar,1420.0,2.0,75.0,3
328,Akshaya Nagar,1412.0,2.0,88.0,3
329,Akshaya Nagar,1434.0,3.0,84.0,3
330,Akshaya Nagar,1890.0,4.0,100.0,3
332,Akshaya Nagar,1419.0,2.0,87.0,3
336,Akshaya Nagar,1820.0,4.0,95.0,3
338,Akshaya Nagar,1896.0,3.0,102.0,3
340,Akshaya Nagar,1225.0,2.0,68.0,2
342,Akshaya Nagar,1421.0,2.0,73.0,3
345,Ambalipura,1105.0,2.0,75.0,2
346,Ambalipura,1800.0,3.0,110.0,3
347,Ambalipura,1150.0,2.0,80.0,2
348,Ambalipura,1250.0,2.0,66.25,2
349,Ambalipura,1332.0,2.0,79.0,2
350,Ambalipura,1730.0,3.0,120.0,3
351,Ambalipura,3500.0,3.0,198.0,3
352,Ambalipura,1230.0,2.0,66.25,2
353,Ambalipura,1351.0,2.0,77.0,2
355,Ambalipura,1817.0,3.0,102.0,3
357,Ambalipura,1303.0,2.0,80.0,2
358,Ambalipura,1607.0,2.0,112.0,3
359,Ambalipura,770.0,1.0,43.82,1
361,Ambalipura,1060.0,2.0,58.5,2
362,Ambalipura,1650.0,3.0,100.0,3
363,Ambalipura,1607.0,2.0,112.0,3
364,Ambalipura,1198.0,2.0,80.0,2
365,Ambedkar Nagar,1935.0,4.0,130.0,3
366,Ambedkar Nagar,1424.0,2.0,90.0,2
367,Ambedkar Nagar,2225.0,4.0,169.0,3
368,Ambedkar Nagar,1862.0,3.0,120.0,3
369,Ambedkar Nagar,1850.0,4.0,139.0,3
370,Ambedkar Nagar,1936.0,4.0,126.0,3
371,Ambedkar Nagar,1862.0,3.0,119.0,3
372,Ambedkar Nagar,1424.0,2.0,90.0,2
373,Ambedkar Nagar,2150.0,4.0,125.0,3
374,Ambedkar Nagar,3530.0,4.0,290.0,4
375,Ambedkar Nagar,1856.0,3.0,120.0,3
376,Ambedkar Nagar,1852.0,3.0,130.0,3
377,Ambedkar Nagar,1850.0,4.0,120.0,3
378,Ambedkar Nagar,1367.0,2.0,86.0,2
379,Ambedkar Nagar,3565.0,4.0,255.0,4
380,Ambedkar Nagar,1409.0,2.0,95.0,2
381,Ambedkar Nagar,1950.0,4.0,120.0,3
382,Ambedkar Nagar,1921.0,4.0,129.0,3
383,Ambedkar Nagar,1920.0,4.0,121.0,3
384,Ambedkar Nagar,1935.0,4.0,125.0,3
385,Ambedkar Nagar,1852.0,4.0,122.0,3
386,Ambedkar Nagar,1950.0,4.0,120.0,3
387,Ambedkar Nagar,1852.0,3.0,125.0,3
388,Ambedkar Nagar,1850.0,4.0,121.0,3
389,Ambedkar Nagar,1425.0,2.0,94.0,2
390,Ambedkar Nagar,2395.0,4.0,150.0,3
393,Amruthahalli,1900.0,3.0,135.0,3
395,Amruthahalli,900.0,2.0,60.0,2
401,Amruthahalli,1450.0,2.0,85.0,3
403,Amruthahalli,1250.0,2.0,79.0,2
405,Amruthahalli,1202.0,2.0,65.0,2
406,Amruthahalli,1340.0,2.0,75.0,2
407,Amruthahalli,2650.0,4.0,175.0,3
408,Amruthahalli,1450.0,2.0,90.0,3
410,Amruthahalli,485.0,1.0,19.5,1
412,Anandapura,1000.0,2.0,55.0,2
415,Anandapura,1200.0,2.0,67.0,2
419,Anandapura,900.0,2.0,48.0,2
426,Anandapura,1200.0,2.0,66.0,3
427,Anandapura,1415.0,2.0,74.0,3
431,Ananth Nagar,500.0,1.0,14.0,1
434,Ananth Nagar,500.0,2.0,14.0,1
440,Ananth Nagar,500.0,1.0,14.0,1
454,Ananth Nagar,500.0,1.0,14.0,1
460,Anekal,600.0,1.0,16.5,1
462,Anekal,530.0,1.0,18.0,1
465,Anekal,351.0,1.0,16.0,1
478,Anekal,400.0,1.0,11.5,1
479,Anekal,456.0,1.0,15.0,1
486,Anekal,420.0,1.0,12.5,1
492,Anjanapura,1500.0,3.0,121.0,3
503,Ardendale,1750.0,3.0,100.0,3
504,Ardendale,3198.0,4.0,200.0,4
505,Ardendale,2422.0,4.0,160.0,4
506,Ardendale,1750.0,3.0,100.0,3
507,Ardendale,3200.0,4.0,205.0,4
508,Ardendale,1728.0,3.0,95.0,3
509,Ardendale,2062.0,3.0,140.0,4
510,Ardendale,1732.46,3.0,92.0,3
511,Ardendale,2062.0,3.0,150.0,4
513,Ardendale,1224.0,2.0,70.0,2
514,Ardendale,1777.26,3.0,105.0,3
516,Ardendale,2062.0,3.0,140.0,4
518,Ardendale,1224.0,2.0,67.0,2
519,Ardendale,1723.0,3.0,95.0,3
521,Ardendale,1777.26,3.0,92.0,3
522,Arekere,2060.0,3.0,140.0,3
524,Arekere,1740.0,2.0,95.0,3
526,Arekere,600.0,1.0,28.0,1
527,Arekere,2072.0,3.0,108.0,3
529,Arekere,900.0,2.0,50.0,2
533,Attibele,450.0,1.0,11.0,1
536,Attibele,400.0,1.0,11.0,1
537,Attibele,400.0,1.0,12.0,1
538,Attibele,400.0,1.0,14.0,1
539,Attibele,500.0,1.0,17.0,1
541,Attibele,395.0,1.0,10.25,1
542,Attibele,420.0,1.0,17.0,1
544,Attibele,418.0,1.0,12.0,1
546,Attibele,400.0,1.0,10.0,1
550,Attibele,450.0,1.0,12.5,1
554,Attibele,782.0,1.0,19.55,1
557,Attibele,400.0,1.0,11.5,1
558,Attibele,460.0,1.0,13.0,1
559,Attibele,418.0,2.0,11.5,1
561,Attibele,550.0,1.0,11.5,1
563,Attibele,410.0,1.0,10.0,1
565,Attibele,400.0,1.0,10.25,1
567,Attibele,1500.0,3.0,90.0,3
568,Attibele,520.0,1.0,15.0,1
569,BEML Layout,1060.0,2.0,55.0,2
572,BEML Layout,2400.0,4.0,225.0,5
574,BEML Layout,1194.0,2.0,65.0,2
575,BEML Layout,1200.0,2.0,67.0,2
576,BEML Layout,2400.0,2.0,228.0,2
579,BEML Layout,1194.0,2.0,65.0,2
580,BTM 2nd Stage,1260.0,5.0,185.0,3
581,BTM 2nd Stage,950.0,2.0,52.0,2
582,BTM 2nd Stage,1850.0,3.0,170.0,3
583,BTM 2nd Stage,1200.0,2.0,80.0,2
584,BTM 2nd Stage,1274.0,2.0,70.0,2
587,BTM 2nd Stage,1280.0,2.0,80.0,2
588,BTM 2nd Stage,1100.0,2.0,70.0,2
589,BTM 2nd Stage,1000.0,2.0,58.0,2
590,BTM 2nd Stage,2990.0,5.0,416.0,5
592,BTM 2nd Stage,2200.0,3.0,220.0,3
593,BTM 2nd Stage,2780.0,4.0,325.0,3
594,BTM 2nd Stage,2400.0,2.0,360.0,3
595,BTM 2nd Stage,965.0,2.0,56.0,2
596,BTM 2nd Stage,1147.0,2.0,75.0,2
597,BTM 2nd Stage,1750.0,3.0,172.0,3
598,BTM 2nd Stage,1400.0,2.0,90.0,2
599,BTM 2nd Stage,1200.0,2.0,70.0,2
603,BTM 2nd Stage,2500.0,3.0,345.0,3
604,BTM Layout,1150.0,2.0,63.0,2
606,BTM Layout,1450.0,2.0,81.0,3
608,BTM Layout,1458.0,3.0,79.0,3
609,BTM Layout,935.0,2.0,51.5,2
611,BTM Layout,1600.0,3.0,112.0,3
612,BTM Layout,1300.0,2.0,75.0,3
614,BTM Layout,450.0,1.0,20.0,1
616,BTM Layout,1470.0,2.0,99.0,3
638,Badavala Nagar,1494.0,2.0,94.55,3
639,Badavala Nagar,1274.0,2.0,81.0,2
640,Badavala Nagar,1842.0,3.0,115.0,3
641,Badavala Nagar,1494.0,2.0,94.55,3
642,Badavala Nagar,1274.0,2.0,81.0,2
643,Badavala Nagar,1494.0,2.0,94.55,3
644,Badavala Nagar,1842.0,3.0,115.0,3
645,Badavala Nagar,1842.0,3.0,115.0,3
646,Badavala Nagar,1842.0,3.0,115.0,3
647,Balagere,1210.0,2.0,80.9,2
648,Balagere,1210.0,2.0,72.0,2
649,Balagere,1205.0,2.0,78.5,2
650,Balagere,790.5,1.0,41.9,1
651,Balagere,1145.0,2.0,65.0,2
652,Balagere,1012.0,2.0,54.59,2
653,Balagere,1020.07,2.0,68.38,2
654,Balagere,1205.47,2.0,81.0,2
655,Balagere,1007.0,2.0,65.0,2
656,Balagere,1205.0,2.0,70.0,2
657,Balagere,1210.0,2.0,74.0,2
658,Balagere,1210.0,2.0,83.0,2
659,Balagere,675.0,1.0,45.0,1
660,Balagere,656.0,1.0,43.0,1
661,Balagere,1012.0,2.0,54.59,2
662,Balagere,1012.0,2.0,64.0,2
663,Balagere,1007.0,2.0,62.0,2
664,Balagere,1007.0,2.0,67.0,2
665,Balagere,1007.0,2.0,66.0,2
666,Balagere,1205.0,2.0,63.86,2
667,Balagere,1012.0,2.0,53.58,2
668,Balagere,645.0,1.0,34.18,1
669,Balagere,1007.0,2.0,53.0,2
670,Balagere,1210.0,2.0,69.0,2
671,Balagere,790.5,1.0,42.295,1
672,Balagere,1012.0,2.0,65.0,2
673,Balagere,656.0,1.0,38.77,1
674,Balagere,645.0,1.0,39.0,1
675,Balagere,645.0,1.0,41.0,1
676,Balagere,1210.0,2.0,82.0,2
677,Balagere,656.0,1.0,34.77,1
678,Balagere,1205.0,2.0,73.87,2
679,Balagere,1012.0,2.0,70.0,2
680,Balagere,1007.0,2.0,68.0,2
681,Balagere,1205.0,2.0,67.0,2
682,Balagere,1205.0,2.0,79.0,2
683,Balagere,1012.0,2.0,68.0,2
686,Banashankari,1470.0,2.0,88.64,3
687,Banashankari,1300.0,2.0,75.0,3
688,Banashankari,1800.0,3.0,115.0,3
689,Banashankari,1125.0,2.0,63.0,2
691,Banashankari,1310.0,2.0,80.0,2
692,Banashankari,2600.0,4.0,135.0,3
693,Banashankari,1900.0,2.0,170.0,3
694,Banashankari,1260.0,2.0,75.0,2
697,Banashankari,1350.0,2.0,83.0,3
699,Banashankari,1330.0,2.0,78.0,2
700,Banashankari,1400.0,2.0,78.0,3
701,Banashankari,1700.0,3.0,125.0,3
705,Banashankari,2400.0,1.0,200.0,1
706,Banashankari,1390.0,2.0,86.0,2
709,Banashankari,1290.0,2.0,80.0,2
710,Banashankari,2582.0,5.0,250.0,3
711,Banashankari,1186.0,2.0,65.0,2
712,Banashankari,1650.0,3.0,101.0,3
714,Banashankari,1181.0,2.0,75.0,2
715,Banashankari,1105.0,2.0,90.0,2
716,Banashankari,720.0,1.0,60.0,1
718,Banashankari,1330.0,2.0,77.0,2
720,Banashankari,1185.0,2.0,67.0,2
722,Banashankari,1650.0,3.0,90.75,3
723,Banashankari,1650.0,3.0,101.0,3
724,Banashankari,1310.0,2.0,80.43,2
726,Banashankari,1430.0,2.0,87.8,2
729,Banashankari,1540.0,3.0,80.0,3
731,Banashankari,1683.0,3.0,115.0,3
732,Banashankari,1800.0,3.0,125.0,3
735,Banashankari,1800.0,3.0,175.0,3
737,Banashankari,1770.0,3.0,108.0,3
738,Banashankari,1800.0,3.0,125.0,3
741,Banashankari,1200.0,3.0,74.52,3
742,Banashankari,1100.0,2.0,63.0,2
744,Banashankari,1260.0,2.0,75.0,2
746,Banashankari,1426.0,3.0,85.0,3
747,Banashankari Stage II,1700.0,2.0,150.0,2
748,Banashankari Stage II,1200.0,2.0,150.0,4
749,Banashankari Stage II,1500.0,2.0,120.0,3
750,Banashankari Stage II,2400.0,3.0,510.0,5
752,Banashankari Stage II,1250.0,2.0,110.0,2
753,Banashankari Stage II,1260.0,2.0,95.0,3
754,Banashankari Stage II,2400.0,2.0,300.0,3
755,Banashankari Stage II,1400.0,2.0,100.0,2
756,Banashankari Stage II,2800.0,3.0,425.0,5
757,Banashankari Stage II,3000.0,3.0,450.0,3
758,Banashankari Stage II,1200.0,2.0,198.0,3
759,Banashankari Stage II,1245.0,2.0,125.0,2
762,Banashankari Stage III,1650.0,3.0,118.0,3
763,Banashankari Stage III,2400.0,4.0,240.0,4
770,Banashankari Stage III,1480.0,3.0,75.48,3
772,Banashankari Stage III,1304.0,2.0,111.0,2
775,Banashankari Stage III,1500.0,2.0,100.0,3
776,Banashankari Stage III,2100.0,3.0,147.0,4
777,Banashankari Stage III,1420.0,2.0,95.0,3
792,Banashankari Stage VI,2200.0,4.0,195.0,4
802,Banaswadi,1365.0,2.0,73.0,2
804,Banaswadi,1222.0,2.0,80.0,2
808,Banaswadi,527.0,1.0,35.0,1
809,Banaswadi,1340.0,2.0,73.0,2
812,Banjara Layout,1200.0,2.0,70.0,2
813,Banjara Layout,1050.0,2.0,64.8,2
814,Banjara Layout,753.0,3.0,59.5,2
815,Banjara Layout,2500.0,4.0,140.0,3
816,Bannerghatta,3012.0,6.0,250.0,4
817,Bannerghatta,1665.0,3.0,110.0,3
818,Bannerghatta,2370.0,4.0,195.0,3
819,Bannerghatta,1100.0,2.0,66.0,2
820,Bannerghatta,2895.5,2.0,246.0,4
821,Bannerghatta,1113.0,2.0,70.0,2
822,Bannerghatta,1200.0,2.0,73.2,2
823,Bannerghatta,1070.0,2.0,87.0,2
824,Bannerghatta,1776.0,3.0,124.0,3
825,Bannerghatta,1776.0,3.0,150.0,3
826,Bannerghatta Road,500.0,1.0,18.5,1
827,Bannerghatta Road,1050.0,2.0,65.0,2
828,Bannerghatta Road,1170.0,2.0,66.0,3
829,Bannerghatta Road,595.0,1.0,33.32,1
830,Bannerghatta Road,1445.0,3.0,95.0,3
831,Bannerghatta Road,1640.0,2.0,120.0,3
833,Bannerghatta Road,1460.0,2.0,90.0,3
835,Bannerghatta Road,1179.0,2.0,66.02,2
836,Bannerghatta Road,1122.5,2.0,58.935,2
837,Bannerghatta Road,793.0,2.0,45.0,2
839,Bannerghatta Road,1400.0,2.0,78.0,2
842,Bannerghatta Road,1654.0,3.0,100.0,3
845,Bannerghatta Road,1200.0,2.0,75.0,2
847,Bannerghatta Road,595.0,1.0,31.83,1
849,Bannerghatta Road,1255.0,2.0,65.26,2
851,Bannerghatta Road,1550.0,3.0,82.0,3
853,Bannerghatta Road,1650.0,3.0,122.0,3
854,Bannerghatta Road,912.0,2.0,55.0,2
855,Bannerghatta Road,1218.0,2.0,73.0,2
857,Bannerghatta Road,1115.0,2.0,65.12,2
859,Bannerghatta Road,1893.0,3.0,100.0,3
860,Bannerghatta Road,1600.0,3.0,95.0,3
864,Bannerghatta Road,1260.0,2.0,70.0,2
867,Bannerghatta Road,1150.0,2.0,65.0,2
871,Bannerghatta Road,1725.0,3.0,110.0,3
872,Bannerghatta Road,1850.0,6.0,150.0,6
875,Bannerghatta Road,1220.0,2.0,80.0,2
876,Bannerghatta Road,1130.0,2.0,78.0,2
878,Bannerghatta Road,1486.0,3.0,83.22,3
879,Bannerghatta Road,1460.0,2.0,75.0,3
881,Bannerghatta Road,1115.0,2.0,61.0,2
883,Bannerghatta Road,2700.0,4.0,260.0,4
884,Bannerghatta Road,1200.0,2.0,69.0,3
885,Bannerghatta Road,1465.0,2.0,76.0,3
886,Bannerghatta Road,1302.5,2.0,67.73,2
887,Bannerghatta Road,1200.0,2.0,65.0,2
888,Bannerghatta Road,1240.0,2.0,65.0,2
889,Bannerghatta Road,1476.0,3.0,125.0,3
891,Bannerghatta Road,1532.5,3.0,84.29,3
893,Bannerghatta Road,1268.0,2.0,69.0,2
894,Bannerghatta Road,1450.0,2.0,87.0,3
895,Bannerghatta Road,2932.0,5.0,195.0,4
898,Bannerghatta Road,960.0,2.0,58.0,2
899,Bannerghatta Road,1750.0,3.0,130.0,3
900,Bannerghatta Road,1275.0,2.0,73.0,2
902,Bannerghatta Road,1240.0,2.0,71.0,2
904,Bannerghatta Road,1215.0,2.0,68.0,2
905,Bannerghatta Road,1215.0,2.0,68.0,2
906,Bannerghatta Road,1894.0,3.0,115.0,3
908,Bannerghatta Road,1693.0,3.0,89.0,3
911,Bannerghatta Road,630.0,1.0,35.0,1
912,Bannerghatta Road,1215.0,2.0,68.0,2
913,Bannerghatta Road,1365.0,3.0,76.18,3
914,Bannerghatta Road,1115.0,2.0,78.0,2
915,Bannerghatta Road,1532.5,3.0,79.465,3
917,Bannerghatta Road,1655.0,3.0,90.0,3
920,Bannerghatta Road,1650.0,3.0,94.0,3
921,Bannerghatta Road,905.0,2.0,65.0,2
926,Bannerghatta Road,1460.0,2.0,80.0,3
927,Bannerghatta Road,1340.0,2.0,85.0,2
928,Bannerghatta Road,1711.0,3.0,125.0,3
929,Bannerghatta Road,1520.0,2.0,81.0,3
930,Bannerghatta Road,2826.0,3.0,148.0,3
931,Bannerghatta Road,1115.0,2.0,61.0,2
935,Bannerghatta Road,1640.0,3.0,105.0,3
938,Bannerghatta Road,1527.0,3.0,115.0,3
939,Bannerghatta Road,1660.0,3.0,85.0,3
940,Bannerghatta Road,1880.0,3.0,96.5,3
941,Bannerghatta Road,1550.0,3.0,96.0,3
942,Bannerghatta Road,1200.0,2.0,78.0,2
943,Bannerghatta Road,1885.0,3.0,125.0,3
945,Bannerghatta Road,1450.0,2.0,78.0,3
946,Bannerghatta Road,700.0,1.0,31.2,1
949,Bannerghatta Road,905.0,2.0,58.0,2
950,Bannerghatta Road,1465.0,2.0,75.0,3
951,Bannerghatta Road,1920.0,3.0,122.0,3
952,Bannerghatta Road,2400.0,4.0,180.0,4
955,Bannerghatta Road,1520.0,2.0,80.0,3
956,Bannerghatta Road,1270.0,2.0,73.0,3
957,Bannerghatta Road,1846.0,3.0,120.0,3
959,Bannerghatta Road,1122.5,2.0,61.74,2
960,Bannerghatta Road,1655.0,3.0,95.0,3
963,Bannerghatta Road,1215.0,2.0,65.0,2
